电影名称,评分,评价人数,年份,地区,类型
禁闭岛,8.9,1050943人评价,2010,美国,剧情 悬疑 惊悚
致命魔术,8.9,917631人评价,2006,英国 美国,剧情 悬疑 惊悚
心灵捕手,9.0,773387人评价,1997,美国,剧情
超脱,9.0,670398人评价,2011,美国,剧情
低俗小说,8.9,901779人评价,1994,美国,剧情 喜剧 犯罪
摩登时代,9.3,325584人评价,1936,美国,剧情 喜剧 爱情
喜剧之王,8.8,1032905人评价,1999,中国香港,喜剧 剧情 爱情
春光乍泄,9.0,674503人评价,1997,中国香港 日本 韩国,剧情 爱情 同性
海豚湾,9.3,371436人评价,2009,美国,纪录片
哈利·波特与密室,8.9,847929人评价,2002,英国 美国,奇幻 冒险
致命ID,8.9,891577人评价,2003,美国,剧情 悬疑 惊悚
杀人回忆,8.9,781170人评价,2003,韩国,剧情 动作 犯罪 悬疑 惊悚
美国往事,9.1,445127人评价,1984,美国 意大利,犯罪 剧情
一一,9.1,447741人评价,2000,中国台湾 日本,剧情 爱情 家庭
红辣椒,9.0,522678人评价,2006,日本,动画 悬疑 科幻 惊悚
加勒比海盗,8.8,917292人评价,2003,美国,动作 冒险 奇幻
七宗罪,8.8,1001532人评价,1995,美国,剧情 犯罪 悬疑 惊悚
唐伯虎点秋香,8.7,1156798人评价,1993,中国香港,喜剧 爱情 古装
狩猎,9.1,431238人评价,2012,丹麦 瑞典,剧情
